Iteration,HW_Latency_ms,HW_Write_ms,HW_Compute_ms,HW_Read_ms
0,0.370746,0.074605,0.235131,0.06101
1,0.415028,0.080482,0.215658,0.118888
2,0.368789,0.07731,0.222259,0.06922
3,0.464246,0.077002,0.347706,0.039538
4,0.336603,0.075659,0.202,0.058944
5,0.474404,0.126536,0.279098,0.06877
6,0.309698,0.092538,0.178834,0.038326
7,0.328113,0.101593,0.185471,0.041049
8,0.280288,0.072622,0.16658,0.041086
9,0.30351,0.109492,0.150566,0.043452
10,0.400033,0.07255,0.2709,0.056583
11,0.333554,0.095515,0.193508,0.044531
12,0.298422,0.049336,0.189229,0.059857
13,0.397288,0.092321,0.260845,0.044122
14,0.32268,0.093155,0.186486,0.043039
15,0.361055,0.066189,0.250164,0.044702
16,0.322544,0.07246,0.208984,0.0411
17,0.310956,0.097467,0.167222,0.046267
18,0.323335,0.070426,0.195165,0.057744
19,0.297106,0.048236,0.192603,0.056267
20,0.35211,0.074674,0.22357,0.053866
21,0.386002,0.074551,0.2678,0.043651
22,0.349933,0.066582,0.236586,0.046765
23,0.432671,0.07326,0.315428,0.043983
24,0.385884,0.073914,0.257227,0.054743
25,0.372652,0.052885,0.272291,0.047476
26,0.30812,0.077285,0.170852,0.059983
27,0.388981,0.072865,0.273292,0.042824
28,0.626253,0.09258,0.488337,0.045336
29,0.316488,0.086777,0.183777,0.045934
30,0.313083,0.084312,0.166328,0.062443
31,0.349427,0.074001,0.223966,0.05146
32,0.273113,0.075496,0.150894,0.046723
33,0.215407,0.046278,0.119509,0.04962
34,0.258992,0.056662,0.155652,0.046678
35,0.308219,0.097449,0.158261,0.052509
36,0.322569,0.087389,0.18886,0.04632
37,0.307544,0.051656,0.202308,0.05358
38,0.288106,0.056678,0.169355,0.062073
39,0.443546,0.056363,0.33658,0.050603
40,0.274604,0.092617,0.136854,0.045133
41,0.320578,0.096134,0.171824,0.05262
42,0.306479,0.060427,0.199527,0.046525
43,0.343414,0.073686,0.211658,0.05807
44,0.290589,0.059868,0.161751,0.06897
45,0.365912,0.073447,0.225965,0.0665
46,0.420782,0.102196,0.257289,0.061297
47,0.447078,0.077503,0.307765,0.06181
48,0.295715,0.070024,0.180176,0.045515
49,0.323715,0.072974,0.189297,0.061444
50,0.373395,0.085623,0.244997,0.042775
51,0.411907,0.09272,0.25989,0.059297
52,0.476835,0.10389,0.328114,0.044831
53,0.347189,0.092422,0.195413,0.059354
54,0.354532,0.08914,0.220263,0.045129
55,0.422337,0.104537,0.25969,0.05811
56,0.346316,0.081068,0.218679,0.046569
57,0.567814,0.099797,0.407627,0.06039
58,0.359398,0.085439,0.230121,0.043838
59,0.488157,0.111877,0.31783,0.05845
60,0.269424,0.088815,0.13874,0.041869
61,0.603943,0.077003,0.466364,0.060576
62,0.634991,0.077491,0.495757,0.061743
63,0.376443,0.073283,0.24572,0.05744
64,0.541626,0.085293,0.395987,0.060346
65,0.358616,0.105883,0.194406,0.058327
66,0.428315,0.112118,0.255023,0.061174
67,0.466835,0.110218,0.296917,0.0597
68,0.27046,0.070207,0.153943,0.04631
69,0.342802,0.092465,0.188974,0.061363
70,0.520767,0.093833,0.357637,0.069297
71,0.3651,0.097596,0.20641,0.061094
72,0.507227,0.11436,0.331564,0.061303
73,0.395417,0.103667,0.216027,0.075723
74,0.334284,0.101374,0.17633,0.05658
75,0.308832,0.105286,0.145033,0.058513
76,0.344435,0.102451,0.180894,0.06109
77,0.30555,0.074122,0.170634,0.060794
78,0.317963,0.087799,0.169057,0.061107
79,0.333417,0.085641,0.188763,0.059013
80,0.510784,0.088239,0.376886,0.045659
81,0.367078,0.113831,0.192403,0.060844
82,0.351846,0.086429,0.206797,0.05862
83,0.315019,0.080775,0.16891,0.065334
84,0.38552,0.098353,0.219123,0.068044
85,0.304472,0.087353,0.157036,0.060083
86,0.370945,0.047549,0.278144,0.045252
87,0.397183,0.099407,0.23838,0.059396
88,0.526126,0.140626,0.32293,0.06257
89,0.459194,0.1059,0.268737,0.084557
90,0.397113,0.095727,0.257326,0.04406
91,0.310961,0.097278,0.153363,0.06032
92,0.325026,0.103125,0.177787,0.044114
93,0.552097,0.10638,0.382867,0.06285
94,0.421869,0.074865,0.301186,0.045818
95,0.495697,0.08257,0.354827,0.0583
96,0.364824,0.072621,0.23214,0.060063
97,0.374502,0.070228,0.241827,0.062447
98,0.407502,0.058455,0.302244,0.046803
99,0.412965,0.092445,0.261947,0.058573
100,0.333022,0.088729,0.185533,0.05876
101,0.421783,0.06783,0.295567,0.058386
102,0.38463,0.047163,0.278904,0.058563
103,0.44877,0.05825,0.33187,0.05865
104,0.348779,0.087932,0.181857,0.07899
105,0.338604,0.056907,0.221977,0.05972
106,0.281111,0.07283,0.161647,0.046634
107,0.30251,0.071084,0.17149,0.059936
108,0.393699,0.111829,0.221157,0.060713
109,0.446481,0.101134,0.284224,0.061123
110,0.34304,0.089097,0.20842,0.045523
111,0.373379,0.089558,0.224284,0.059537
112,0.349973,0.102281,0.195083,0.052609
113,0.339839,0.095916,0.18415,0.059773
114,0.342384,0.075586,0.193164,0.073634
115,0.632758,0.111007,0.462814,0.058937
116,0.388915,0.081442,0.260793,0.04668
117,0.365153,0.105147,0.19836,0.061646
118,0.299897,0.075434,0.178484,0.045979
119,0.407707,0.105636,0.241927,0.060144
120,0.38064,0.108557,0.216653,0.05543
121,0.403778,0.097487,0.246654,0.059637
122,0.409769,0.099387,0.241787,0.068595
123,0.355422,0.07942,0.196902,0.0791
124,0.356524,0.07712,0.21952,0.059884
125,0.322306,0.069773,0.194047,0.058486
126,0.416192,0.071802,0.297493,0.046897
127,0.398327,0.079933,0.260654,0.05774
128,0.551831,0.101427,0.389067,0.061337
129,0.650759,0.100166,0.49069,0.059903
130,0.454347,0.120393,0.273917,0.060037
131,0.371274,0.090259,0.220742,0.060273
132,0.297045,0.091204,0.159181,0.04666
133,0.386778,0.089627,0.235834,0.061317
134,0.448832,0.085936,0.317373,0.045523
135,0.379113,0.05115,0.270857,0.057106
136,0.39724,0.082649,0.267624,0.046967
137,0.400723,0.100033,0.24068,0.06001
138,0.450515,0.06883,0.321471,0.060214
139,0.517987,0.083193,0.37706,0.057734
140,0.319138,0.083929,0.18356,0.051649
141,0.348607,0.071913,0.217297,0.059397
142,0.347084,0.087861,0.19997,0.059253
143,0.417683,0.103013,0.24244,0.07223
144,0.416978,0.118094,0.21694,0.081944
145,0.323187,0.087827,0.17408,0.06128
146,0.296216,0.07578,0.160196,0.06024
147,0.378911,0.099327,0.217227,0.062357
148,0.451168,0.106721,0.284667,0.05978
149,0.479837,0.08848,0.331857,0.0595
150,0.447508,0.094841,0.291017,0.06165
151,0.370813,0.075775,0.232044,0.062994
152,0.373121,0.112928,0.190116,0.070077
153,0.432364,0.11352,0.257557,0.061287
154,0.357603,0.088744,0.209196,0.059663
155,0.269674,0.06799,0.14079,0.060894
156,0.367353,0.101736,0.205183,0.060434
157,0.435171,0.095297,0.28102,0.058854
158,0.322186,0.079399,0.181144,0.061643
159,0.428921,0.114448,0.254263,0.06021
160,0.457133,0.086076,0.310301,0.060756
161,0.652193,0.081221,0.511246,0.059726
162,0.387927,0.08811,0.237507,0.06231
163,0.302095,0.081898,0.160203,0.059994
164,0.357341,0.114577,0.172127,0.070637
165,0.323401,0.073686,0.182178,0.067537
166,0.334117,0.080744,0.179427,0.073946
167,0.329801,0.10881,0.162004,0.058987
168,0.43403,0.071833,0.301564,0.060633
169,0.389961,0.088107,0.234077,0.067777
170,0.370996,0.11653,0.199163,0.055303
171,0.295969,0.075282,0.14996,0.070727
172,0.442203,0.106623,0.27519,0.06039
173,0.328508,0.085304,0.181854,0.06135
174,0.391378,0.114847,0.216784,0.059747
175,0.478465,0.076025,0.34279,0.05965
176,0.306016,0.079606,0.167307,0.059103
177,0.370071,0.101894,0.20877,0.059407
178,0.34003,0.075553,0.203983,0.060494
179,0.425797,0.100131,0.264683,0.060983
180,0.292175,0.076612,0.146857,0.068706
181,0.33494,0.09391,0.182537,0.058493
182,0.436568,0.082904,0.29194,0.061724
183,0.333969,0.081232,0.19237,0.060367
184,0.395274,0.10303,0.22041,0.071834
185,0.502829,0.102265,0.34018,0.060384
186,0.469908,0.124877,0.284554,0.060477
187,0.397306,0.098472,0.236407,0.062427
188,0.793082,0.085319,0.648243,0.05952
189,0.371575,0.083745,0.21982,0.06801
190,0.317604,0.092174,0.163753,0.061677
191,0.502078,0.089542,0.352533,0.060003
192,0.323686,0.075951,0.186318,0.061417
193,0.349051,0.089084,0.199357,0.06061
194,0.356754,0.101604,0.194856,0.060294
195,0.386734,0.116184,0.210303,0.060247
196,0.444798,0.100601,0.282587,0.06161
197,0.427459,0.080326,0.28576,0.061373
198,0.425079,0.098996,0.265686,0.060397
199,0.440701,0.11641,0.263351,0.06094
200,0.494543,0.099429,0.332654,0.06246
201,0.489534,0.085931,0.34226,0.061343
202,0.45619,0.07291,0.320823,0.062457
203,0.256191,0.044724,0.151414,0.060053
204,0.385241,0.07337,0.240857,0.071014
205,0.316065,0.043694,0.212637,0.059734
206,0.49099,0.117153,0.312814,0.061023
207,0.454074,0.093334,0.299446,0.061294
208,0.424652,0.117594,0.237614,0.069444
209,0.314797,0.076714,0.175873,0.06221
210,0.359981,0.061986,0.228821,0.069174
211,0.352406,0.072576,0.219824,0.060006
212,0.587838,0.068607,0.457644,0.061587
213,0.350708,0.085796,0.205576,0.059336
214,0.538093,0.102127,0.36373,0.072236
215,0.338824,0.078377,0.200033,0.060414
216,0.42498,0.106683,0.25803,0.060267
217,0.38052,0.08156,0.23814,0.06082
218,0.311257,0.085691,0.165599,0.059967
219,0.337758,0.10424,0.173767,0.059751
220,0.487918,0.107297,0.320994,0.059627
221,0.336411,0.076354,0.198674,0.061383
222,0.42574,0.08359,0.27995,0.0622
223,0.376777,0.090637,0.2246,0.06154
224,0.53942,0.094893,0.372737,0.07179
225,0.353168,0.087504,0.20686,0.058804
226,0.423945,0.07776,0.284235,0.06195
227,0.426893,0.10299,0.265163,0.05874
228,0.31601,0.085466,0.168984,0.06156
229,0.357853,0.088687,0.210233,0.058933
230,0.286324,0.07178,0.15577,0.058774
231,0.388732,0.105936,0.22288,0.059916
232,0.546517,0.06793,0.417677,0.06091
233,0.45976,0.13264,0.266457,0.060663
234,0.406336,0.079523,0.26717,0.059643
235,0.507935,0.099485,0.347517,0.060933
236,0.437364,0.094207,0.281313,0.061844
237,0.329953,0.073373,0.197713,0.058867
238,0.411271,0.088631,0.26196,0.06068
239,0.408068,0.10357,0.239651,0.064847
240,0.441136,0.078693,0.30289,0.059553
241,0.395009,0.076451,0.257374,0.061184
242,0.413162,0.089035,0.263554,0.060573
243,0.326155,0.082236,0.183916,0.060003
244,0.353971,0.111602,0.180603,0.061766
245,0.410682,0.091996,0.258326,0.06036
246,0.562277,0.09563,0.404507,0.06214
247,0.735478,0.100534,0.576264,0.05868
248,0.368308,0.073048,0.233753,0.061507
249,0.677587,0.102096,0.515061,0.06043
250,0.333206,0.085996,0.186443,0.060767
251,0.380088,0.116184,0.203507,0.060397
252,0.419763,0.09953,0.259983,0.06025
253,0.335537,0.081877,0.193387,0.060273
254,0.709738,0.108117,0.541528,0.060093
255,0.473549,0.129309,0.2849,0.05934
256,0.375037,0.13072,0.18263,0.061687
257,0.479611,0.125744,0.294107,0.05976
258,0.364789,0.09014,0.211446,0.063203
259,0.296597,0.040713,0.18774,0.068144
260,0.31627,0.071863,0.18261,0.061797
261,0.37099,0.114406,0.195201,0.061383
262,0.400555,0.117425,0.2236,0.05953
263,0.456658,0.104561,0.293474,0.058623
264,0.357095,0.074734,0.221405,0.060956
265,0.462457,0.099824,0.30213,0.060503
266,0.331863,0.08699,0.18493,0.059943
267,0.4055,0.109923,0.224474,0.071103
268,0.480934,0.11132,0.307654,0.06196
269,0.396126,0.0916,0.242826,0.0617
270,0.860001,0.119044,0.679461,0.061496
271,0.742718,0.132278,0.54881,0.06163
272,0.439816,0.08074,0.299893,0.059183
273,0.393102,0.085118,0.246944,0.06104
274,0.319641,0.094925,0.16306,0.061656
275,0.416271,0.089584,0.266644,0.060043
276,0.417057,0.113513,0.232137,0.071407
277,0.388151,0.088708,0.240256,0.059187
278,0.394161,0.07059,0.261014,0.062557
279,0.322871,0.077361,0.18393,0.06158
280,0.663615,0.083544,0.509784,0.070287
281,0.399288,0.113007,0.226617,0.059664
282,0.346687,0.094917,0.190797,0.060973
283,0.234964,0.045383,0.129517,0.060064
284,0.376233,0.073153,0.242943,0.060137
285,0.333735,0.083229,0.190263,0.060243
286,0.517803,0.086199,0.370664,0.06094
287,0.510144,0.082766,0.367434,0.059944
288,0.26919,0.07016,0.139977,0.059053
289,0.537301,0.07729,0.399157,0.060854
290,0.30905,0.09211,0.15627,0.06067
291,0.473793,0.102613,0.31216,0.05902
292,0.43268,0.09334,0.27935,0.05999
293,0.385394,0.092567,0.231777,0.06105
294,0.421084,0.130297,0.225267,0.06552
295,0.343579,0.103113,0.180026,0.06044
296,0.382468,0.10049,0.214524,0.067454
297,0.345565,0.102575,0.18323,0.05976
298,0.327385,0.080448,0.185741,0.061196
299,0.37303,0.09578,0.216997,0.060253
300,0.448044,0.10575,0.282167,0.060127
301,0.52124,0.070346,0.391064,0.05983
302,0.34285,0.079567,0.19028,0.073003
303,0.516894,0.098876,0.356471,0.061547
304,0.364198,0.092595,0.210237,0.061366
305,1.09468,0.096254,0.93732,0.061103
306,0.473046,0.13037,0.28055,0.062126
307,0.496357,0.106657,0.329124,0.060576
308,0.361753,0.103253,0.199403,0.059097
309,0.470384,0.101814,0.306097,0.062473
310,0.342463,0.114229,0.167497,0.060737
311,0.384277,0.083813,0.23974,0.060724
312,0.707556,0.081446,0.564573,0.061537
313,0.361789,0.090633,0.21222,0.058936
314,0.437604,0.088212,0.290455,0.058937
315,0.386419,0.105716,0.22044,0.060263
316,0.404503,0.11619,0.20238,0.085933
317,0.40786,0.08176,0.267197,0.058903
318,0.399845,0.107549,0.23229,0.060006
319,0.410464,0.118597,0.23246,0.059407
320,0.470311,0.129751,0.280773,0.059787
321,0.330934,0.101324,0.168737,0.060873
322,0.275328,0.074927,0.141527,0.058874
323,0.458469,0.100357,0.298626,0.059486
324,0.700527,0.114174,0.526067,0.060286
