Target device: xilinx_u50_gen3x16_xdma_base_5-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
467.932,0,0,1590,12012,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
522.525,0,0,1590,12012,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
566.631,0,0,1590,12012,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
611.197,0,0,1590,12012,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
654.615,0,0,1590,12012,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
697.952,0,0,1590,12012,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
737.55,0,0,1590,12012,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
776.514,0,0,1590,12012,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
815.317,0,0,1590,12012,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
853.987,0,0,1590,12012,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
892.836,0,0,1590,12012,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
931.518,0,0,1590,12012,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
971.444,0,0,1590,12012,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
1010.97,0,0,1590,12012,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
1050.34,0,0,1590,12012,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
1089.6,0,0,1590,12012,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
1128.98,0,0,1590,12012,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
1167.67,0,0,1590,12012,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
1209.87,0,0,1590,12012,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
1249.48,0,0,1590,12012,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
1289.2,0,0,1590,12012,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
1328.32,0,0,1590,12012,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
1367.37,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
1407.56,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
1446.37,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
1485.43,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
1525.96,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
1564.41,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
1602.97,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
1641.27,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
1679.78,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
1718.17,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
1757.08,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
1795.67,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
1834.5,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
1873.08,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
1911.64,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
1951.13,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
1989.86,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
2028.41,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
2066.74,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
2105.44,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
2144.38,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
2182.84,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
2222.75,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
2261.97,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
2300.88,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
2339.99,0,0,1592,12010,9100,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
2378.37,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
2418.98,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
2457.42,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
2495.83,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
2534.2,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
2573.04,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
2611.69,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
2650.32,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
2688.9,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
2727.67,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
2773.98,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
2816.74,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
2855.51,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
2894.63,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
2933.86,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
2973.25,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3012.41,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3051.09,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3089.84,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3129.03,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3168.25,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3207.04,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3247.62,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3286.34,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3325.46,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3364.67,0,0,1590,12010,9000,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3404.06,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3444.8,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3484.15,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3522.98,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3562.07,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3601.08,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3639.84,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3678.88,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3717.79,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3756.82,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3795.94,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3834.84,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3873.92,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3912.69,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3951.97,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
3990.76,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4029.84,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4068.84,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4107.58,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4146.51,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4185.46,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4224.64,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4265.08,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4303.89,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4342.97,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4382.04,0,0,1590,12010,9100,849,575,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4421.2,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4462.16,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4502.3,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4541.34,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4580.45,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4619.15,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4658.28,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4697.49,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4736.39,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4775.38,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4814.55,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4853.82,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4892.63,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4931.68,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
4970.66,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5009.47,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5048.47,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5087.6,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5126.93,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5165.97,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5205.17,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5244.34,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5284.56,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5323.74,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5362.87,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5401.64,0,0,1592,12010,9000,849,579,3348,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5440.73,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5481.84,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5521.24,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5560.38,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5599.53,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5638.41,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5677.52,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5716.74,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5755.48,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5794.67,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5833.66,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5873.04,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5912.17,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5951.16,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
5990.3,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
6029.22,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
6068.34,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
6107.17,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
6146.14,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
6185.32,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
